Sample_ID,F1,F2,F3,F4,F5,F6,F7,F8,Fruit,Organic
Banana_NonOrg_023,0.747257,0.800466,0.839511,0.85779,0.813338,0.810932,0.674481,0.622956,Banana,Non-Organic
Tomato_NonOrg_088,0.659597,0.458408,0.347717,0.394065,0.442478,0.510794,0.475169,0.468298,Tomato,Non-Organic
Banana_NonOrg_093,0.727838,0.796869,0.841109,0.86636,0.814605,0.749085,0.650311,0.592477,Banana,Non-Organic
Banana_Org_178,0.751799,0.806329,0.826636,0.859425,0.867936,0.79186,0.700453,0.59794,Banana,Organic
Banana_NonOrg_100,0.75357,0.756629,0.836426,0.837321,0.794162,0.71856,0.665836,0.669662,Banana,Non-Organic
Apple_Org_148,0.480595,0.497079,0.608078,0.625249,0.581056,0.490096,0.44009,0.435742,Apple,Organic
Tomato_NonOrg_102,0.642069,0.42202,0.371666,0.401038,0.453835,0.517809,0.47131,0.437944,Tomato,Non-Organic
Apple_NonOrg_162,0.408705,0.533816,0.624634,0.604053,0.583669,0.50427,0.454577,0.357999,Apple,Non-Organic
Banana_Org_077,0.690081,0.799067,0.859867,0.856207,0.791662,0.750542,0.718108,0.622979,Banana,Organic
Tomato_Org_174,0.688616,0.390862,0.317965,0.391982,0.461774,0.531649,0.526183,0.448197,Tomato,Organic
Apple_Org_160,0.511067,0.568435,0.601178,0.649343,0.539015,0.516048,0.469616,0.415816,Apple,Organic
Apple_Org_087,0.489878,0.524712,0.60408,0.646814,0.578826,0.494211,0.407142,0.434194,Apple,Organic
Banana_NonOrg_177,0.710947,0.775501,0.839328,0.855711,0.828865,0.771518,0.665445,0.654122,Banana,Non-Organic
Tomato_Org_020,0.654053,0.43269,0.315956,0.411263,0.447082,0.573185,0.50697,0.437175,Tomato,Organic
Banana_Org_141,0.721648,0.831669,0.845458,0.882597,0.81756,0.740975,0.725927,0.638814,Banana,Organic
Apple_NonOrg_169,0.477956,0.520465,0.557272,0.664206,0.536895,0.479378,0.40563,0.373857,Apple,Non-Organic
Tomato_NonOrg_093,0.701721,0.42024,0.359874,0.360373,0.479248,0.532136,0.508717,0.410878,Tomato,Non-Organic
Banana_NonOrg_030,0.683398,0.776807,0.787629,0.873977,0.78671,0.753952,0.695219,0.583362,Banana,Non-Organic
Banana_Org_090,0.70764,0.808124,0.822976,0.864429,0.806527,0.787245,0.674102,0.642992,Banana,Organic
Banana_NonOrg_054,0.705369,0.769001,0.844488,0.896495,0.76284,0.707461,0.68626,0.642013,Banana,Non-Organic
Tomato_Org_045,0.741881,0.428441,0.355287,0.412774,0.520602,0.544994,0.583194,0.454112,Tomato,Organic
Apple_NonOrg_029,0.467904,0.505243,0.599169,0.587699,0.558873,0.507211,0.411298,0.38136,Apple,Non-Organic
Tomato_NonOrg_155,0.670879,0.412427,0.387351,0.376631,0.43014,0.515119,0.449778,0.45155,Tomato,Non-Organic
Apple_Org_191,0.456461,0.575661,0.578079,0.649461,0.54068,0.463081,0.435237,0.393888,Apple,Organic
Tomato_Org_141,0.699227,0.39941,0.362369,0.421681,0.430062,0.547863,0.490519,0.484364,Tomato,Organic
Apple_Org_111,0.439025,0.575995,0.601738,0.612044,0.548771,0.493318,0.468996,0.398671,Apple,Organic
Apple_NonOrg_042,0.448793,0.501162,0.598354,0.630745,0.562556,0.521662,0.338079,0.373457,Apple,Non-Organic
Banana_Org_097,0.721882,0.788682,0.876071,0.840134,0.790795,0.76855,0.680766,0.629204,Banana,Organic
Banana_NonOrg_062,0.708754,0.720277,0.82947,0.861044,0.837621,0.740543,0.672362,0.616133,Banana,Non-Organic
Banana_NonOrg_157,0.730343,0.800071,0.819771,0.843519,0.782622,0.744078,0.702028,0.632321,Banana,Non-Organic
Tomato_NonOrg_077,0.663976,0.400581,0.351008,0.349063,0.426614,0.503138,0.491495,0.431784,Tomato,Non-Organic
